smi_200	OCc1cc(ccc1OC)c1ccc2c(n1)nc(nc2N1CCOCC1C)N1CCOCC1C
smi_201	ON=C1CCc2c1ccc(c2)c1nc([nH]c1c1ccncc1)c1ccc(cc1)OCCN(C)C
smi_202	OCCONC(=O)c1cc2n(C)cnc2c(c1Nc1ccc(cc1Cl)Br)F
smi_203	O=C1C(=Cc2cccs2)CCC1=Cc1cccs1
smi_204	CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OC
smi_205	CCc1cncnc1N1CCN(CC1)Cc1nc2c([nH]1)cc(cc2)C(F)(F)F
smi_206	n1ccc(cc1)Nc1ccc(cc1)NCCc1c[nH]c2c1cccc2
smi_207	O=C(c1cc(Cc2ccccc2C(C)C)c(c(c1O)O)O)Nc1ccc(cc1)S(=O)(=O)c1ccccc1C(C)(C)C
smi_208	CCc1cc(c(cc1O)O)c1n[nH]c(c1c1ccc2c(c1)OCCO2)C
smi_209	CNCc1ccc(cc1)c1[nH]c2c3c1CCNC(=O)c3cc(c2)F
smi_210	CC1COCCN1c1cc(nc(n1)c1cccc2c1cc[nH]2)C1(CC1)S(=O)(=O)C
smi_211	O=C(Nc1ccc2c(c1)Cc1c(S2)c(ccc1)c1cc(=O)cc(o1)N1CCOCC1)CN1CC(C)OC(C1)C
smi_212	CCC(=C(c1ccccc1)c1ccc(cc1)OCCN(C)C)c1ccccc1
smi_213	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C(=O)N2)C
smi_214	OC(=O)CNC(=O)c1c(O)c2ccccc2n(c1=O)Cc1ccccc1
smi_215	COc1ccc(cc1)C(=O)CC1(O)C(=O)Nc2c1c(Cl)ccc2Cl
smi_216	COc1cc(C=CC(=O)N2CCC=CC2=O)cc(c1OC)OC
smi_217	O=C(c1ccc(c(c1)Nc1ccccc1)C(=O)N1CCC(CC1)N1CCCC1)N1CCC(CC1)N1CCCC1
smi_218	COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)N1CCC(CC1)(F)F
smi_219	O=C(Nc1ccc(cc1)C(C)(C)C)NCCCN(C(C)C)CC1OC(C(C1O)O)n1cc(c2c1ncnc2N)Br
smi_220	O=c1[nH]c(nc2c1CSCC2)c1ccc(cc1)C(F)(F)F
smi_221	Nc1nccc(n1)c1sc(nc1c1cccc(c1F)NS(=O)(=O)c1c(F)cccc1F)C(C)(C)C
smi_222	NC(=O)c1ncn2c1nnn(c2=O)C
smi_223	CC(=O)N1CCN(CC1)CCOc1ccc(cc1)C1CCN(CC1)C1=Nn2c(CC1)nnc2C(F)(F)F
smi_224	CC1COCCN1c1cc(nc(n1)c1ccnc2c1cc[nH]2)C1(CC1)S(=O)(=N)C
smi_225	CC(n1c(C)ncc1c1ccnc(n1)Nc1ccc(cc1)S(=O)(=O)C)C
smi_226	Cn1ncc(c1)c1cnc2c(n1)n(nn2)C(c1ccc2n(c1)ccn2)C
smi_227	NCCCN(C(c1nc2snc(c2c(=O)n1Cc1ccccc1)C)C(C)C)C(=O)c1ccc(cc1)C
smi_228	O=C(Cc1ccccc1)Nc1nnc(s1)CCSCCc1nnc(s1)NC(=O)Cc1ccccc1
smi_229	COCCCNCCCc1ccc(cc1)c1cnc(c(n1)C(=O)Nc1cccnc1)N
smi_230	CNC(C(=O)NC(C(=O)N1CCCC1C(=O)NC1C(OCC#CC#CCOC2Cc3c(C2NC(=O)C2CCCN2C(=O)C(C2CCCCC2)NC(=O)C(NC)C)cccc3)Cc2c1cccc2)C1CCCCC1)C
smi_231	Fc1cnc(nc1)C(Nc1ncc(c(n1)Nc1n[nH]c(c1)C)Cl)C
smi_232	Fc1cc(cc(c1)F)NC(c1cc(cc2c1oc(cc2=O)N1CCOCC1)C(=O)N(C)C)C
smi_233	OCCC(=O)N1CCC(CC1)c1nn(c(n1)c1cnc(c(n1)c1nnc(o1)C(C)(C)C)N)CC
smi_234	NC1CCCN(C1)c1c(cccc1c1ccccc1)C=C1SC(=O)NC1=O
smi_235	CC(Oc1n[nH]c(c1)Nc1nc(ncc1Cl)NC(c1ccc(cn1)F)C)C
smi_236	O=C(c1ccccc1O)C=CN1CC2CC1CN2c1ccccn1
smi_237	CCC1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O
smi_238	OC(=O)C(=O)O.[NH-]C1CCCCC1[NH-].[Pt+2]
smi_239	CC(CC(B(O)O)NC(=O)C(NC(=O)c1cnccn1)Cc1ccccc1)C
smi_240	ClCCN(P1(=O)NCCCO1)CCCl
